SR_PCODE,TS_PCODE,region,township,hospital_name,level,bed,lat,long,coordinates
MMR001,MMR001001,ကချင်ပြည်နယ်,မြစ်ကြီးနား,မြစ်ကြီးနားပြည်သူ့ဆေးရုံကြီး,NA,500,25.39486,97.39547,"97.39547,25.39486,0"
MMR001,MMR001001,ကချင်ပြည်နယ်,မြစ်ကြီးနား,ဆင်ဘိုတိုက်နယ်ဆေးရုံ,တိုက်နယ်,25,24.77642,97.02907,"97.02907,24.77642,0"
MMR001,MMR001001,ကချင်ပြည်နယ်,မြစ်ကြီးနား,တာလောကြီးတိုက်နယ်ဆေးရုံ,တိုက်နယ်,25,25.07122,97.31649,"97.31649,25.07122,0"
MMR001,MMR001001,ကချင်ပြည်နယ်,မြစ်ကြီးနား,အောင်မြင်သာစံပြတိုက်နယ်ဆေးရုံ,တိုက်နယ်,25,25.67001,97.48396,"97.48396,25.67001,0"
MMR001,MMR001002,ကချင်ပြည်နယ်,ဝိုင်းမော်,ဝိုင်းမော်မြို့နယ်ဆေးရုံ,မြို့နယ်,25,25.34985,97.44107,"97.44107,25.34985,0"
MMR001,MMR001002,ကချင်ပြည်နယ်,ဝိုင်းမော်,ကန်တော်ယန်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,24.97598,97.57422,"97.57422,24.97598,0"
MMR001,NA,ကချင်ပြည်နယ်,NA,မန်ဝိန်းတိုက်နယ်ဆေးရုံ,တိုက်နယ်,NA,25.50047,97.74412,"97.74412,25.50047,0"
MMR001,MMR001002,ကချင်ပြည်နယ်,ဝိုင်းမော်,ဆဒုံးတိုက်နယ်ဆေးရုံ,တိုက်နယ်,25,25.37916,97.88326,"97.88326,25.37916,0"
MMR001,MMR001002,ကချင်ပြည်နယ်,ဝိုင်းမော်,ကန်ပိုက်တီတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,25.40505,98.11883,"98.11883,25.40505,0"
MMR001,MMR001003,ကချင်ပြည်နယ်,အင်ဂျန်းယန်,အန်ဂျန်းယန်မြို့နယ်ဆေးရုံ,မြို့နယ်,25,25.82047,97.68142,"97.68142,25.82047,0"
MMR001,MMR001004,ကချင်ပြည်နယ်,တနိုင်း,တနိုင်းမြို့နယ်ဆေးရုံ,မြို့နယ်,50,26.36146,96.71868,"96.71868,26.36146,0"
MMR001,MMR001004,ကချင်ပြည်နယ်,တနိုင်း,ရှင်ဗွေယန်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,26.69594,96.21207,"96.21207,26.69594,0"
MMR001,MMR001005,ကချင်ပြည်နယ်,ချီဖွေ,ချီဖွေမြို့နယ်ဆေးရုံ,မြို့နယ်,25,25.87531,98.15534,"98.15534,25.87531,0"
MMR001,MMR001005,ကချင်ပြည်နယ်,ချီဖွေ,နုဇုန်ဘောင်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,26.03824,98.46255,"98.46255,26.03824,0"
MMR001,MMR001005,ကချင်ပြည်နယ်,ချီဖွေ,ပန်ဝါတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,25.5977,98.37922,"98.37922,25.5977,0"
MMR001,MMR001006,ကချင်ပြည်နယ်,ဆော့လော်,ဆော့လော်မြို့နယ်ဆေးရုံ,မြို့နယ်,25,26.15504,98.29133,"98.29133,26.15504,0"
MMR001,MMR001007,ကချင်ပြည်နယ်,မိုးညှင်း,မိုးညှင်းပြည်သူ့ဆေးရုံ,မြို့နယ်,100,24.77601,96.36252,"96.36252,24.77601,0"
MMR001,MMR001007,ကချင်ပြည်နယ်,မိုးညှင်း,ချောင်းဝတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,25.28382,96.4574,"96.4574,25.28382,0"
MMR001,MMR001007,ကချင်ပြည်နယ်,မိုးညှင်း,ဟိုပင်ဆေးရုံ,တိုက်နယ်,25,24.98538,96.52208,"96.52208,24.98538,0"
MMR001,MMR001007,ကချင်ပြည်နယ်,မိုးညှင်း,လုံးတုံတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,25.09387,96.28473,"96.28473,25.09387,0"
MMR001,MMR001007,ကချင်ပြည်နယ်,မိုးညှင်း,နမ္မားတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,24.88378,96.42636,"96.42636,24.88378,0"
MMR001,MMR001007,ကချင်ပြည်နယ်,မိုးညှင်း,နန့်မွန်းတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,25.00487,96.35012,"96.35012,25.00487,0"
MMR001,MMR001007,ကချင်ပြည်နယ်,မိုးညှင်း,လွဲမွန်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,25.18477,96.30895,"96.30895,25.18477,0"
MMR001,MMR001008,ကချင်ပြည်နယ်,မိုးကောင်း,မိုးကောင်းမြို့နယ်ဆေးရုံ,မြို့နယ်,50,25.30183,96.93226,"96.93226,25.30183,0"
MMR001,MMR001008,ကချင်ပြည်နယ်,မိုးကောင်း,နမ္မတီးတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,25.36177,97.00138,"97.00138,25.36177,0"
MMR001,MMR001008,ကချင်ပြည်နယ်,မိုးကောင်း,​ပင်းဘောတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,25.10426,96.63789,"96.63789,25.10426,0"
MMR001,MMR001008,ကချင်ပြည်နယ်,မိုးကောင်း,ဆားမှော်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,25.22466,96.79704,"96.79704,25.22466,0"
MMR001,MMR001009,ကချင်ပြည်နယ်,ဖားကန့်,ဖားကန့်မြို့နယ်ဆေးရုံ,မြို့နယ်,50,25.61715,96.32242,"96.32242,25.61715,0"
MMR001,MMR001009,ကချင်ပြည်နယ်,ဖားကန့်,ကာမိုင်းတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,25.52265,96.70531,"96.70531,25.52265,0"
MMR001,MMR001009,ကချင်ပြည်နယ်,ဖားကန့်,လုံးခင်းတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,25.6444,96.36448,"96.36448,25.6444,0"
MMR001,MMR001009,ကချင်ပြည်နယ်,ဖားကန့်,တာမခံဆေးရုံ,တိုက်နယ်,25,25.52058,96.1451,"96.1451,25.52058,0"
MMR001,MMR001009,ကချင်ပြည်နယ်,ဖားကန့်,ဘန်ကောက်တိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,25.85704,96.66671,"96.66671,25.85704,0"
MMR001,NA,ကချင်ပြည်နယ်,NA,​ဝှေခါတိုက်နယ်ဆေးရုံ,တိုက်နယ်,NA,25.48332,96.27813,"96.27813,25.48332,0"
MMR001,MMR001010,ကချင်ပြည်နယ်,ဗန်းမော်,ဗန်းမော်ပြည်သူ့ဆေးရုံကြီး,NA,200,24.26363,97.23044,"97.23044,24.26363,0"
MMR001,MMR001010,ကချင်ပြည်နယ်,ဗန်းမော်,မံမလင်းတိုက်နယ်ဆေးရုံ,တိုက်နယ်,16,24.28902,97.167,"97.167,24.28902,0"
